No.,date,sales
1,05/05/1999,52
2,03/08/1999,91
3,30/01/1999,94
4,17/09/1999,66
5,08/02/1999,61
6,26/03/1999,52
7,22/02/1999,98
8,23/02/1999,69
9,17/02/1999,4
10,04/03/1999,59
11,07/01/2000,72
12,07/07/1999,95
13,28/02/1999,27
14,13/08/1999,96
15,09/08/1999,42
16,15/12/1999,40
17,22/03/1999,59
18,26/07/1999,18
19,04/11/1999,99
20,16/03/1999,78
21,10/03/1999,17
22,07/10/1999,71
23,18/02/1999,90
24,01/06/1999,69
25,09/01/2000,17
26,15/04/1999,94
27,08/02/1999,2
28,18/02/1999,64
29,16/01/2000,78
30,14/04/1999,7
